ST-INST,FF,MF,FM,MM
CS210,1.083333333,0.983516484,0.943925234,0.968862275
CS241,0.741935484,0.858657244,0.925,0.941227312
CS421,0.822222222,0.674208145,0.893333333,0.8921875
CS433,0.8,0.846511628,0.769230769,0.674157303
CS440,0.8,0.802083333,1.059701493,0.922580645
CS461,0.777777778,0.903780069,0.880597015,0.90327381
